Taxa_abr,Nstudy,Study,StudyYear,SuccStage,Mean.Age,Name,MeanHabitaSites,MeanRefForest,PreviousLandUse,Country,Site,Mean_Longitude,Mean_Latitude,Mean_Elevation,Mean_Rainfall,Zoogeographical_Realm_Holt_etal_2013,Zoogeographical_Region_Holt_etal_2013,Olson Biogeographic Realm,Continent_Island,Biome,Ai,Ak,RRR,List,Dissim,Si,Sk,RRS,BGroupOverall,BGroupBRealm,BGroupBiome,BGroupContIsla,Taxa,NStudyTaxa,FSpi,FSpk,RRFSp,Ini,Ink,RRIn,SDi,SDk,RRSD,Gri,Grk,RRGr,Pri,Prk,RRPr,Poi,Pok,RRPo,Sci,Sck,RRSc,Gzi,Gzk,RRGz,PatchPtoA5,PatchPtoA10,PatchPtoA25,PatchPtoA50,PatchPtoA75,PatchPtoA100,PatchArea5,PatchArea10,PatchArea25,PatchArea50,PatchArea75,PatchArea100,nPatches5,nPatches10,nPatches25,nPatches50,nPatches75,nPatches100,p.Forest5km,p.Forest10km,p.Forest25km,p.Forest50km,p.Forest75km,p.Forest100km
A,1,Crump,1971,ES,NA,1A_Crump_1971_ES,Open_&_Edge,TerraFirme,pasture,Brazil,Guam‡_Ecological_Research_Area,-48.4,-1.43,12,2028,NT_Neotropical,Am_Amazonian,Neotropic,Continent,Moist,24,21,0.133531393,Y,0.5111111,0.4888889,1,-0.715620014,AmphibiansES,NT_NeotropicalAmphibiansES,MoistAmphibiansES,ContinentAmphibiansES,Amphibians,1,1,4,-1.386294361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,1,Crump,1971,YSF,NA,1A_Crump_1971_YSF,Capoeira,TerraFirme,pasture,Brazil,Guam‡_Ecological_Research_Area,-48.4,-1.43,12,2028,NT_Neotropical,Am_Amazonian,Neotropic,Continent,Moist,9,21,-0.84729786,Y,0.4,0.6,1,-0.510825624,AmphibiansYSF,NT_NeotropicalAmphibiansYSF,MoistAmphibiansYSF,ContinentAmphibiansYSF,Amphibians,1,2,4,-0.693147181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,2,Lieberman,1986,MSF,20,2A_Lieberman_1986_MSF,Disturbed_ecosystem,Undisturbed_Forest,abandoned_agriculture,Costa Rica,La_Selva_Biological_Station,-84.01667,10.41667,60,4000,PN_Panamanian,Pa_Panamanian,Neotropic,Continent,Moist,15,24,-0.470003629,Y,0.2307692,0.7692308,1,-0.262364224,AmphibiansMSF,PN_PanamanianAmphibiansMSF,MoistAmphibiansMSF,ContinentAmphibiansMSF,Amphibians,2,4,8,-0.693147181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,3,Heinen,1992,YSF,5,3A_Heinen_1992_YSF,New_Cacao_Site,Primary_Forest,abandoned_agriculture,Costa Rica,La_Selva_Biological_Station,-84.01667,10.41667,60,4000,PN_Panamanian,Pa_Panamanian,Neotropic,Continent,Moist,10,14,-0.336472237,Y,0.4166667,0.5833333,1,-0.538996558,AmphibiansYSF,PN_PanamanianAmphibiansYSF,MoistAmphibiansYSF,ContinentAmphibiansYSF,Amphibians,3,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,3,Heinen,1992,MSF,25,3A_Heinen_1992_MSF,Old_Cacao_Site,Primary_Forest,abandoned_agriculture,Costa Rica,La_Selva_Biological_Station,-84.01667,10.41667,60,4000,PN_Panamanian,Pa_Panamanian,Neotropic,Continent,Moist,11,14,-0.241162057,Y,0.36,0.64,1,-0.446287103,AmphibiansMSF,PN_PanamanianAmphibiansMSF,MoistAmphibiansMSF,ContinentAmphibiansMSF,Amphibians,3,4,2,0.693147181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,4,Vargas_&_Castro,1999,YSF,NA,4A_Vargas_&_Castro_1999_YSF,area_altamente_deforestada,bosque_maduro,pasture,Colombia,Anchicaya_Valle_del_Cauca,-76.913,3.619,800,3000,PN_Panamanian,Pa_Panamanian,Neotropic,Continent,Moist,4,4,0,Y,0.75,0.25,1,-1.386294361,AmphibiansYSF,PN_PanamanianAmphibiansYSF,MoistAmphibiansYSF,ContinentAmphibiansYSF,Amphibians,4,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000773772,0.000502414,0.00655275,0.00741497,0.007278744,0.007343759,74009588.6,299664184.4,253442469.3,66137916.65,25872403.8,22452801.81,1,1,7,86,410,780,0.953538613,0.961859975,0.910512126,0.729329445,0.604347967,0.561292877
A,5,Tocher_etal,2002,ES,0,5A_Tocher_etal_2002_ES,Pasture,Continuous_Forest,pasture,Brazil,BDFFP_Biological_Dynamics_of_Forest_Fragments_Project,-60,-2.333333,150,2500,NT_Neotropical,Am_Amazonian,Neotropic,Continent,Moist,24,51,-0.753771802,Y,0.4933333,0.5066667,1,-0.679901888,AmphibiansES,NT_NeotropicalAmphibiansES,MoistAmphibiansES,ContinentAmphibiansES,Amphibians,5,3,19,-1.84582669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000989296,0.000463174,0.000159679,0.004614271,0.006829745,0.006947669,67260827.79,295307063,1921524410,2540181675,619993782.1,129133192.7,1,1,1,3,27,208,0.857334428,0.941532396,0.98473295,0.97662427,0.953733593,0.861063442
A,5,Tocher_etal,2002,YSF,11.5,5A_Tocher_etal_2002_YSF,Vismia_and_Cecropia,Continuous_Forest,pasture,Brazil,BDFFP_Biological_Dynamics_of_Forest_Fragments_Project,-60,-2.333333,150,2500,NT_Neotropical,Am_Amazonian,Neotropic,Continent,Moist,39,51,-0.268263987,Y,0.2226201,0.7773799,1,-0.251826116,AmphibiansYSF,NT_NeotropicalAmphibiansYSF,MoistAmphibiansYSF,ContinentAmphibiansYSF,Amphibians,5,8.5,19,-0.804372816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000989296,0.000463174,0.000159679,0.004614271,0.006829745,0.006947669,67260827.79,295307063,1921524410,2540181675,619993782.1,129133192.7,1,1,1,3,27,208,0.857334428,0.941532396,0.98473295,0.97662427,0.953733593,0.861063442
A,6,Vallan,2002,YSF,2,6A_Vallan_2002_YSF,S2,F4.F3.F2.F1,pasture,Madagascar,Andasibe,48.516667,-18.95,900,1680,MA_Madagascan,Ma_Madagascan,Afrotropic,Island,Moist,15,32.3,-0.767017029,Y,0.581283575,0.418716425,0.69298668,-0.503816877,AmphibiansYSF,MA_MadagascanAmphibiansYSF,MoistAmphibiansYSF,IslandAmphibiansYSF,Amphibians,6,8,23.5,-1.077558879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001026887,0.005609443,0.007536722,0.007732012,0.007816049,0.00772438,69221753.83,65578503.63,20836084.29,23057938.78,20127660.9,18260924.37,1,4,71,228,523,811,0.889740933,0.837064822,0.755975208,0.672936889,0.598789196,0.474050467
A,6,Vallan,2002,MSF,25,6A_Vallan_2002_MSF,S1,F4.F3.F2.F1,pasture,Madagascar,Andasibe,48.516667,-18.95,900,1680,MA_Madagascan,Ma_Madagascan,Afrotropic,Island,Moist,28,32.3,-0.14286272,Y,0.5616438,0.4383562,0.6231023,-0.351678889,AmphibiansMSF,MA_MadagascanAmphibiansMSF,MoistAmphibiansMSF,IslandAmphibiansMSF,Amphibians,6,19,23.5,-0.212561442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001026887,0.005609443,0.007536722,0.007732012,0.007816049,0.00772438,69221753.83,65578503.63,20836084.29,23057938.78,20127660.9,18260924.37,1,4,71,228,523,811,0.889740933,0.837064822,0.755975208,0.672936889,0.598789196,0.474050467
A,7,Pawar_etal,2004,YSF,4.25,7A_Pawar_etal_2004_YSF,jh1A.jh1B.jh5.jh10,matC.matB,slash_and_burn_agriculture,India,Ngengpui_Wildlife_Sanctuary,92.85,23.225,700,2800,OR_Oriental,Or_Oriental,Indo Malay,Continent,Moist,1,10.5,-2.351375257,Y,0.873226763,0.126773238,0.7857143,-1.824193281,AmphibiansYSF,OR_OrientalAmphibiansYSF,MoistAmphibiansYSF,ContinentAmphibiansYSF,Amphibians,7,0.25,5.5,-3.091042453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000745583,0.004724135,0.007073875,0.007982755,0.007674562,0.007480634,76158206.3,148183796.8,237281026.5,499875964.9,109033428.7,55829498.01,1,2,8,15,142,452,0.967270896,0.952467869,0.971210379,0.959304249,0.880343429,0.807347862
A,7,Pawar_etal,2004,MSF,35,7A_Pawar_etal_2004_MSF,jh35,matC.matB,slash_and_burn_agriculture,India,Ngengpui_Wildlife_Sanctuary,92.85,23.225,700,2800,OR_Oriental,Or_Oriental,Indo Malay,Continent,Moist,8,10.5,-0.271933715,Y,0.5,0.5,0.857142867,-0.538996512,AmphibiansMSF,OR_OrientalAmphibiansMSF,MoistAmphibiansMSF,ContinentAmphibiansMSF,Amphibians,7,3,5.5,-0.606135804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000745583,0.004724135,0.007073875,0.007982755,0.007674562,0.007480634,76158206.3,148183796.8,237281026.5,499875964.9,109033428.7,55829498.01,1,2,8,15,142,452,0.967270896,0.952467869,0.971210379,0.959304249,0.880343429,0.807347862
A,8,Pineda_&_Halffter,2004,ES,0,8A_Pineda_&_Halffter_2004_ES,Pasture9.10,TMCF1.2.3.4.5,pasture,Mexico,La_Antigua_River_Basin_Xalapa_Veracruz,-96.933333,19.566667,1355,1700,NA_Neartic,Me_Mexican,Neotropic,Continent,Moist,3,10.4,-1.243193517,Y,0.6384865,0.3615135,0.701915547,-0.663513708,AmphibiansES,NA_NearticAmphibiansES,MoistAmphibiansES,ContinentAmphibiansES,Amphibians,8,0.5,5.6,-2.415913778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007218029,0.006670317,0.007301294,0.007352612,0.007378941,0.007397192,2083832.717,3236662.752,6753191.944,5943311.553,5628460.977,5617889.911,3,20,82,301,525,782,0.078962313,0.206293075,0.283405116,0.228994854,0.168175448,0.140605194
A,9,Erns_&_Rodel,2005,MSF,25,9A_Erns_&_Rodel_2005_MSF,Secondary_Forest,Primary_Forest,abandoned_agriculture,Ivory Coast,Tai_National_Park,-7.333333,5.833333,100,1700,AF_Afrotropical,GC_Guineo_Congolian,Afrotropic,Continent,Moist,18,20,-0.105360516,Y,0.2105263,0.7894737,1,-0.236388758,AmphibiansMSF,AF_AfrotropicalAmphibiansMSF,MoistAmphibiansMSF,ContinentAmphibiansMSF,Amphibians,9,10,14,-0.336472237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000513022,0.004792013,0.007065691,0.007639054,0.007625568,0.007610861,79095280.07,97522495.85,56408542.48,82765662.52,32385616.97,20887332.73,1,3,30,80,396,966,1,0.935174839,0.866779827,0.848840556,0.730542771,0.646697363
A,10,Garcia_etal,2005,ES,NA,10A_Garcia_etal_2005_ES,Matorral,bosque_maduro,pasture,Colombia,PNN_Munchique_La_Romelia,-77.0083335,2.6333335,2600,4000,PN_Panamanian,Pa_Panamanian,Neotropic,Continent,Moist,0,7,NA,Y,1,0,1,NA,AmphibiansES,PN_PanamanianAmphibiansES,MoistAmphibiansES,ContinentAmphibiansES,Amphibians,10,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003705193,0.000491543,0.007604761,0.007041602,0.00731482,0.007411506,35971253.88,300792265.4,62968472.55,25363173.65,22151710.04,27016598.01,2,1,27,209,511,735,0.915503749,0.960248498,0.871322507,0.679580041,0.644922189,0.636579976
A,10,Garcia_etal,2005,YSF,NA,10A_Garcia_etal_2005_YSF,Bosque_Secundario,bosque_maduro,pasture,Colombia,PNN_Munchique_La_Romelia,-77.0083335,2.6333335,2600,4000,PN_Panamanian,Pa_Panamanian,Neotropic,Continent,Moist,6,7,-0.15415068,Y,0.2307692,0.7692308,1,-0.262364224,AmphibiansYSF,PN_PanamanianAmphibiansYSF,MoistAmphibiansYSF,ContinentAmphibiansYSF,Amphibians,10,3,5,-0.510825624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003705193,0.000491543,0.007604761,0.007041602,0.00731482,0.007411506,35971253.88,300792265.4,62968472.55,25363173.65,22151710.04,27016598.01,2,1,27,209,511,735,0.915503749,0.960248498,0.871322507,0.679580041,0.644922189,0.636579976
