,n,Bmean,2.50%,97.50%,FigurePart,Taxa,Succ.Stage
dB1,15,-0.289,-0.661,0.057,Overall,Amphibians,ES
dB2,23,-0.449,-0.708,-0.231,Overall,Amphibians,YSF
dB3,13,-0.146,-0.309,0.026,Overall,Amphibians,MSF
dB4,2,-0.401,NA,NA,Overall,Amphibians,OSF
dB5,12,-0.430,-0.588,-0.285,Overall,Reptiles,ES
dB6,17,-0.335,-0.476,-0.178,Overall,Reptiles,YSF
dB7,12,-0.027,-0.173,0.113,Overall,Reptiles,MSF
dB8,1,-0.041,NA,NA,Overall,Reptiles,OSF
dB9,18,-0.854,-1.123,-0.620,Overall,Birds,ES
dB10,41,-0.185,-0.279,-0.094,Overall,Birds,YSF
dB11,24,-0.078,-0.164,0.009,Overall,Birds,MSF
dB12,5,-0.053,-0.163,0.021,Overall,Birds,OSF
dB13,11,-0.877,-1.408,-0.404,Overall,Mammals,ES
dB14,24,-0.225,-0.383,-0.088,Overall,Mammals,YSF
dB15,10,-0.041,-0.327,0.274,Overall,Mammals,MSF
dB16,4,-0.334,NA,NA,Overall,Mammals,OSF
dB17,13,-0.367,-0.781,0.016,Moist,Amphibians,ES
dB18,22,-0.483,-0.747,-0.261,Moist,Amphibians,YSF
dB19,11,-0.148,-0.316,0.037,Moist,Amphibians,MSF
dB20,2,-0.401,NA,NA,Moist,Amphibians,OSF
dB21,10,-0.430,-0.605,-0.276,Moist,Reptiles,ES
dB22,16,-0.341,-0.491,-0.175,Moist,Reptiles,YSF
dB23,10,-0.028,-0.203,0.134,Moist,Reptiles,MSF
dB24,1,-0.041,NA,NA,Moist,Reptiles,OSF
dB25,15,-0.885,-1.201,-0.607,Moist,Birds,ES
dB26,36,-0.201,-0.302,-0.105,Moist,Birds,YSF
dB27,20,-0.099,-0.183,-0.012,Moist,Birds,MSF
dB28,5,-0.052,-0.163,0.021,Moist,Birds,OSF
dB29,6,-0.717,-1.349,-0.091,Moist,Mammals,ES
dB30,23,-0.221,-0.386,-0.077,Moist,Mammals,YSF
dB31,7,0.116,-0.241,0.477,Moist,Mammals,MSF
dB32,3,-0.310,NA,NA,Moist,Mammals,OSF
dB33,1,0.405,NA,NA,Dry,Amphibians,ES
dB34,1,0.223,NA,NA,Dry,Amphibians,YSF
dB35,1,0.223,NA,NA,Dry,Amphibians,MSF
