,n,Bmean,0.025,0.975,FigurePart,Taxa,Succ.Stage
dB1,14,-0.685,-0.819,-0.547,Overall,Amphibians,ES
dB2,20,-0.586,-0.808,-0.382,Overall,Amphibians,YSF
dB3,13,-0.413,-0.504,-0.327,Overall,Amphibians,MSF
dB4,2,-0.465,NA,NA,Overall,Amphibians,OSF
dB5,11,-0.535,-0.703,-0.368,Overall,Reptiles,ES
dB6,13,-0.543,-0.730,-0.370,Overall,Reptiles,YSF
dB7,12,-0.357,-0.461,-0.256,Overall,Reptiles,MSF
dB8,1,-0.079,NA,NA,Overall,Reptiles,OSF
dB9,11,-1.069,-1.327,-0.816,Overall,Birds,ES
dB10,27,-0.533,-0.674,-0.407,Overall,Birds,YSF
dB11,17,-0.346,-0.479,-0.240,Overall,Birds,MSF
dB12,1,-0.203,NA,NA,Overall,Birds,OSF
dB13,9,-0.577,-0.781,-0.429,Overall,Mammals,ES
dB14,21,-0.449,-0.601,-0.315,Overall,Mammals,YSF
dB15,10,-0.344,-0.444,-0.257,Overall,Mammals,MSF
dB16,4,-0.443,NA,NA,Overall,Mammals,OSF
dB17,12,-0.718,-0.852,-0.595,Moist,Amphibians,ES
dB18,19,-0.595,-0.836,-0.388,Moist,Amphibians,YSF
dB19,11,-0.416,-0.521,-0.316,Moist,Amphibians,MSF
dB20,2,-0.465,NA,NA,Moist,Amphibians,OSF
dB21,7,-0.473,-0.712,-0.256,Moist,Reptiles,ES
dB22,12,-0.547,-0.741,-0.359,Moist,Reptiles,YSF
dB23,10,-0.370,-0.493,-0.253,Moist,Reptiles,MSF
dB24,1,-0.079,NA,NA,Moist,Reptiles,OSF
dB25,8,-1.110,-1.424,-0.783,Moist,Birds,ES
dB26,23,-0.557,-0.712,-0.417,Moist,Birds,YSF
dB27,14,-0.354,-0.507,-0.233,Moist,Birds,MSF
dB28,1,-0.203,NA,NA,Moist,Birds,OSF
dB29,5,-0.634,-0.970,-0.435,Moist,Mammals,ES
dB30,20,-0.458,-0.616,-0.315,Moist,Mammals,YSF
dB31,20,-0.457,-0.613,-0.315,Moist,Mammals,MSF
