Nstudy,Study,YearStudy,Age,Name,Forest.cov,MeanHabitat,BGroupOverall,BGroupBRealm,BGroupBiome,BGroupContIsla,nAi,nAk,Ai,Ak,RRR,nSi,nSk,Dissim,Sim_S_toOGF,Sor_in_OGF,RRS,StudyTaxa,Ntaxa,Taxa,Country,Continent_Island,Site,Biogeographic_realms,Nbiome,Biome,Mean_Longitude,Mean_Latitude,Mean_Elevation,Mean_Rainfall,Matrix_Means,Matrix,Ndist,Previous_Use,Methods,MeanMet,N,Gamma,List,Data,MeanData,Moist_Forest_specialist,p.ForSpec,InSpp,p.In,SDSpp,p.SD,GrSpp,p.Gr,PrSpp,p.Pr,PoSpp,p.Po,ScSpp,p.Sc,GzSpp,p.Gz
1,Lieberman,1986,20,1.Lieberman.1986.20,MSF,Disturbed_ecosystem,AmphibiansMSF,NeotropicAmphibiansMSF,1.TropMoAmphibiansMSF,ContinentAmphibiansMSF,1,1,15,24,-0.470003629,1,1,0.231,0.769,1.000,-0.262,1,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,ALP,Amphibian_Litterplots,2,24,Yes,A,Abundance,4,0.266666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Lieberman,1986,NA,1.Lieberman.1986.NA,OGF,Undisturbed_Forest,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,1,1,24,24,0,1,1,0.000,1.000,1.000,0.000,1,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,5,U,ALP,Amphibian_Litterplots,2,24,Yes,A,Abundance,8,0.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Heinen,1992,5,2.Heinen.1992.5,YSF,New_Cacao_Site,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,1,1,10,14,-0.336472237,1,1,0.417,0.583,1.000,-0.539,2,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,ALP,Amphibian_Litterplots,3,19,Yes,A,Abundance,2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Heinen,1992,25,2.Heinen.1992.25,MSF,Old_Cacao_Site,AmphibiansMSF,NeotropicAmphibiansMSF,1.TropMoAmphibiansMSF,ContinentAmphibiansMSF,1,1,11,14,-0.241162057,1,1,0.360,0.640,1.000,-0.446,2,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,1,CA,ALP,Amphibian_Litterplots,3,19,Yes,A,Abundance,4,0.363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Heinen,1992,NA,2.Heinen.1992.NA,OGF,Primary_Forest,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,1,1,14,14,0,1,1,0.000,1.000,1.000,0.000,2,1,Amphibians,Costa_Rica,Continent,La_Selva_Biological_Station,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-86,10,60,4000,2,Fragmented,5,U,ALP,Amphibian_Litterplots,3,19,Yes,A,Abundance,2,0.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Tocher_etal,2002,0,3.Tocher_etal.2002.0,ES,Pasture,AmphibiansES,NeotropicAmphibiansES,1.TropMoAmphibiansES,ContinentAmphibiansES,1,1,24,51,-0.753771802,1,1,0.493,0.507,1.000,-0.680,3,1,Amphibians,Brazil,Continent,BDFFP_Biological_Dynamics_of_Forest_Fragments_Project,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-60,-2,150,2500,2,Fragmented,4,SB,FMS,Frogs_Mixed_Methods,4,61,Yes,P,Presence,3,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Tocher_etal,2002,10,3.Tocher_etal.2002.10,YSF,Cut_and_Burn_Vismia,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,1,1,40,51,-0.242946179,1,1,0.187,0.813,1.000,-0.207,3,1,Amphibians,Brazil,Continent,BDFFP_Biological_Dynamics_of_Forest_Fragments_Project,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-60,-2,150,2500,2,Fragmented,4,SB,FMS,Frogs_Mixed_Methods,4,61,Yes,P,Presence,9,0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Tocher_etal,2002,13,3.Tocher_etal.2002.13,YSF,Just_Cut_Cecropia,AmphibiansYSF,NeotropicAmphibiansYSF,1.TropMoAmphibiansYSF,ContinentAmphibiansYSF,1,1,38,51,-0.294239473,1,1,0.258,0.742,1.000,-0.299,3,1,Amphibians,Brazil,Continent,BDFFP_Biological_Dynamics_of_Forest_Fragments_Project,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-60,-2,150,2500,2,Fragmented,4,SB,FMS,Frogs_Mixed_Methods,4,61,Yes,P,Presence,8,0.210526316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Tocher_etal,2002,NA,3.Tocher_etal.2002.NA,OGF,Continuous_Forest,AmphibiansOGF,NeotropicAmphibiansOGF,1.TropMoAmphibiansOGF,ContinentAmphibiansOGF,1,1,51,51,0,1,1,0.000,1.000,1.000,0.000,3,1,Amphibians,Brazil,Continent,BDFFP_Biological_Dynamics_of_Forest_Fragments_Project,Neotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,-60,-2,150,2500,2,Fragmented,5,U,FMS,Frogs_Mixed_Methods,4,61,Yes,P,Presence,19,0.37254902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Vallan,2002,2,4.Vallan.2002.2,YSF,S2,AmphibiansYSF,AfrotropicAmphibiansYSF,1.TropMoAmphibiansYSF,IslandAmphibiansYSF,1,4,15,32.25,-0.765467842,1,4,0.700,0.300,0.623,-0.731,4,1,Amphibians,Madagascar,Island,Andasibe,Afrotropic,1.TropMo,Tropical_and_Subtropical_Moist_Broadleaf_Forest,48,-18,900,1680,2,Fragmented,3,P,ASUFT,Amphibian_Searching_Unfixed_Trails,6,82,Yes,RA,Relative_Abundance,8,0.533333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
